p,p_d
p1,3.36905
p2,2.9486
p3,2.70995
p4,2.5415
p5,2.4263
p6,2.42795
p7,2.45525
p8,2.7242
p9,3.1802
p10,3.63695
p11,3.79775
p12,3.782
p13,3.7613
p14,3.5381
p15,3.37895
p16,3.293
p17,3.26405
p18,3.35405
p19,3.8687
p20,4.0367
p21,4.04705
p22,3.82445
p23,3.8597
p24,3.5165
p25,3.0743
p26,2.64215
p27,2.3738
p28,2.1869
p29,2.0813
p30,2.0216
p31,1.91555
p32,1.95485
p33,2.23025
p34,2.65145
p35,2.90285
p36,2.97545
p37,2.97485
p38,2.94215
p39,2.8121
p40,2.73935
p41,2.70125
p42,2.88635
p43,3.46625
p44,3.7463
p45,3.88595
p46,3.72215
p47,3.69215
p48,3.2843
p49,2.84855
p50,2.5412
p51,2.3633
p52,2.29925
p53,2.3549
p54,2.82755
p55,3.4097
p56,3.94535
p57,4.22225
p58,4.4846
p59,4.55
p60,4.5359
p61,4.3568
p62,4.0127
p63,4.0277
p64,3.9869
p65,4.019
p66,4.06475
p67,4.45895
p68,4.46
p69,4.2944
p70,3.9284
p71,3.8594
p72,3.69575
p73,3.21785
p74,2.8607
p75,2.69435
p76,2.59715
p77,2.6198
p78,2.94695
p79,3.43625
p80,3.93335
p81,4.17425
p82,4.38275
p83,4.424
p84,4.39385
p85,4.2113
p86,3.86705
p87,3.87035
p88,3.86075
p89,3.9113
p90,3.9962
p91,4.42565
p92,4.4312
p93,4.2344
p94,3.87515
p95,3.79775
p96,3.54725
p97,3.16985
p98,2.8427
p99,2.68955
p100,2.60435
p101,2.62025
p102,2.95985
p103,3.4544
p104,3.9152
p105,4.15175
p106,4.35995
p107,4.3745
p108,4.3442
p109,4.1717
p110,3.84155
p111,3.84215
p112,3.83375
p113,3.89015
p114,3.9182
p115,4.301
p116,4.32485
p117,4.139
p118,3.815
p119,3.74795
p120,3.55205
p121,3.1655
p122,2.8421
p123,2.6918
p124,2.6027
p125,2.6144
p126,2.9504
p127,3.42785
p128,3.88865
p129,4.0538
p130,4.26155
p131,4.2587
p132,4.20425
p133,4.01795
p134,3.68495
p135,3.6956
p136,3.6845
p137,3.7454
p138,3.782
p139,4.1927
p140,4.2263
p141,4.08935
p142,3.7829
p143,3.7079
p144,3.55205
p145,3.1655
p146,2.8421
p147,2.6918
p148,2.6027
p149,2.6144
p150,2.9504
p151,3.42785
p152,3.88865
p153,4.0538
p154,4.26155
p155,4.2587
p156,4.20425
p157,4.01795
p158,3.68495
p159,3.6956
p160,3.6845
p161,3.7454
p162,3.782
p163,4.1927
p164,4.2263
p165,4.08935
p166,3.7829
p167,3.7079
p168,3.63305
